Year,Department Title,Job Class Title,Regular Pay,Actual Earnings,Department #
2012,Airports,Arpt Supt Of Oper Ii,88030.00,90907.00,101
2012,Airports,Security Officer,61010.00,63914.00,101
2012,Airports,Security Officer,61010.00,63890.00,101
2012,Airports,Custodian/Ap,48271.00,51152.00,101
2012,Airports,Custodian/Ap,43488.00,46379.00,101
2012,Airports,Security Officer,56586.00,59485.00,101
2012,Airports,Management Analyst Ii,85838.00,88745.00,101
2012,Airports,Elevator Mechanic,94520.00,97427.00,101
2012,Airports,Arpt Supt Of Oper Ii,78906.00,78288.00,101
2012,Airports,Custodian/Ap,45879.00,48809.00,101
2012,Airports,Arpt Supt Of Oper Iii,104421.00,103801.00,101
2012,Airports,Maint & Constr Helper,59936.00,59313.00,101
2012,Airports,Security Officer,56586.00,59533.00,101
2012,Airports,Custodian/Ap,47075.00,50016.00,101
2012,Airports,Sr Painter,80818.00,80190.00,101
2012,Airports,Accounting Clerk Ii,63590.00,62962.00,101
2012,Airports,Airport Police Ofcr Ii,88469.00,91456.00,101
2012,Airports,Custodian/Ap,43488.00,46451.00,101
2012,Airports,Fiscal Systems Spec Ii,125614.00,128581.00,101
2012,Airports,Custodian Supervisor,56902.00,59871.00,101
2012,Airports,Security Officer,56586.00,59560.00,101
2012,Airports,Sr Mgmt Analyst Ii,125593.00,124959.00,101
2012,Airports,Custodian/Ap,43488.00,46469.00,101
2012,Airports,Airp Maintenance Supt,117333.00,120313.00,101
2012,Airports,Building Repairer I,57647.00,57006.00,101
2012,Airports,Clerk Typist,48766.00,52748.00,101
2012,Airports,Airp Maintenance Supt,123786.00,123134.00,101
2012,Airports,Ch Airport Plan Ii/Pmiii,167536.00,166894.00,101
2012,Airports,Custodian/Ap,47075.00,46432.00,101
2012,Airports,Electrcl Craft Helper,52075.00,51383.00,101
2012,Airports,Pipefitter,83907.00,83263.00,101
2012,Airports,Custodian/Ap,47075.00,50104.00,101
2012,Airports,Gardener Caretaker,51447.00,50796.00,101
2012,Airports,Sr Carpenter,84272.00,87303.00,101
2012,Airports,Custodian/Ap,47075.00,50106.00,101
2012,Airports,Elevator Mechanic Hlpr,54829.00,57859.00,101
2012,Airports,Custodian/Ap,45879.00,45228.00,101
2012,Airports,Maintenance Laborer,53939.00,56975.00,101
2012,Airports,Custodian/Ap,47075.00,50116.00,101
2012,Airports,Custodian/Ap,43488.00,46526.00,101
2012,Airports,Airport Police Ofcr Ii,79762.00,82806.00,101
2012,Airports,Sr Carpenter,84272.00,83615.00,101
2012,Airports,Custodian/Ap,43488.00,46549.00,101
2012,Airports,Security Officer,46834.00,49894.00,101
2012,Airports,Programmer/Analyst Iv,95526.00,98591.00,101
2012,Airports,Maintenance Laborer,55097.00,58177.00,101
2012,Airports,Environmental Spec Iii,96069.00,99152.00,101
2012,Airports,Custodian/Ap,47075.00,50159.00,101
2012,Airports,Airp Maintenance Supt,117333.00,120426.00,101
2012,Airports,Security Officer,56586.00,59791.00,101
2012,Airports,Custodian/Ap,45879.00,45213.00,101
2012,Airports,Custodian/Ap,47075.00,46411.00,101
2012,Airports,Accounting Clerk Ii,63590.00,62925.00,101
2012,Airports,Custodian Supervisor,56902.00,60011.00,101
2012,Airports,Commun Electrician,80496.00,79818.00,101
2012,Airports,Security Officer,49444.00,52561.00,101
2012,Airports,Heavy Duty Truck Oper,62451.00,65568.00,101
2012,Airports,Airports Mtce Supvr Iii,95192.00,98318.00,101
2012,Airports,Constr Inspector,94184.00,97334.00,101
2012,Airports,Clerk Typist,47460.00,46780.00,101
2012,Airports,Mech Repairer Ii,76086.00,79237.00,101
2012,Airports,Airport Police Ofcr Ii,79762.00,82913.00,101
2012,Airports,Security Officer,56586.00,59750.00,101
2012,Airports,Gardener Caretaker,51447.00,50756.00,101
2012,Airports,Sr Clerk Typist,60222.00,63393.00,101
2012,Airports,Maintenance Laborer,48594.00,47906.00,101
2012,Airports,Custodial Svcs Asst/Ap,43397.00,46574.00,101
2012,Airports,Custodian/Ap,48271.00,51445.00,101
2012,Airports,Security Officer,56586.00,59783.00,101
2012,Airports,Custodian/Ap,43488.00,46690.00,101
2012,Airports,Arpt Supt Of Oper I,63882.00,67081.00,101
2012,Airports,Maintenance Laborer,53939.00,57211.00,101
2012,Airports,Sr Personnel Analyst I,102521.00,105733.00,101
2012,Airports,Gardener Caretaker,52862.00,56073.00,101
2012,Airports,Custodian/Ap,45879.00,49091.00,101
2012,Airports,Airport Police Ofcr Ii,86151.00,85457.00,101
2012,Airports,Airport Safety Officer Ii,90515.00,93734.00,101
2012,Airports,Environmental Supvr Ii,110226.00,113442.00,101
2012,Airports,Constr Inspector,101877.00,105102.00,101
2012,Airports,Custodian/Ap,45879.00,49122.00,101
2012,Airports,Custodian/Ap,43488.00,46730.00,101
2012,Airports,Maintenance Laborer,52603.00,51903.00,101
2012,Airports,Management Analyst Ii,85838.00,85137.00,101
2012,Airports,Gardener Caretaker,52862.00,56124.00,101
2012,Airports,Airport Police Ofcr Ii,75523.00,78798.00,101
2012,Airports,Security Officer,56586.00,59885.00,101
2012,Airports,Custodian/Ap,47075.00,50367.00,101
2012,Airports,Painter,73481.00,76770.00,101
2012,Airports,Custodian/Ap,48271.00,51568.00,101
2012,Airports,Custodian/Ap,45879.00,49181.00,101
2012,Airports,Arpt Supt Of Oper I,75183.00,78492.00,101
2012,Airports,Maintenance Laborer,53939.00,57248.00,101
2012,Airports,Custodian/Ap,43488.00,46804.00,101
2012,Airports,Maintenance Laborer,53939.00,57262.00,101
2012,Airports,Arpt Supt Of Oper I,60552.00,59839.00,101
2012,Airports,Maintenance Laborer,53939.00,53199.00,101
2012,Airports,Sr Clerk Typist,60222.00,59504.00,101
2012,Airports,Airp Pub/Comm Rel Dir I,112656.00,115982.00,101
2012,Airports,Custodian/Ap,45879.00,49211.00,101
2012,Airports,Airport Police Ofcr Iii,89316.00,88595.00,101
2012,Airports,Custodian/Ap,43488.00,46824.00,101
2012,Airports,Traf Paint Sign Post Ii,62282.00,65629.00,101
2012,Airports,Custodian/Ap,43488.00,46830.00,101
2012,Airports,Clerk Typist,48766.00,48044.00,101
2012,Airports,Plumber,88522.00,91866.00,101
2012,Airports,Custodian/Ap,43488.00,46839.00,101
2012,Airports,Bus Operator Supvr,72022.00,75405.00,101
2012,Airports,Custodian/Ap,48271.00,51636.00,101
2012,Airports,Custodian/Ap,47075.00,50440.00,101
2012,Airports,Security Officer,56586.00,59945.00,101
2012,Airports,Custodian/Ap,43488.00,46848.00,101
2012,Airports,Custodian/Ap,48271.00,51632.00,101
2012,Airports,Sr Clerk Typist,60222.00,63592.00,101
2012,Airports,Clerk Typist,48766.00,48040.00,101
2012,Airports,Airport Police Ofcr Ii,79762.00,83145.00,101
2012,Airports,Custodian/Ap,48271.00,51642.00,101
2012,Airports,Airport Police Ofcr I,49841.00,53211.00,101
2012,Airports,Custodian/Ap,48271.00,51643.00,101
2012,Airports,Civil Engrg Assoc Iv,110226.00,113604.00,101
2012,Airports,Custodian/Ap,48271.00,51711.00,101
2012,Airports,Warehouse & T/R Wkr Ii,53893.00,53162.00,101
2012,Airports,Custodian/Ap,45815.00,49200.00,101
2012,Airports,Heavy Duty Equip Mech,82683.00,86071.00,101
2012,Airports,Custodian/Ap,45879.00,49274.00,101
2012,Airports,Security Officer,56586.00,59982.00,101
2012,Airports,Heavy Duty Equip Mech,78372.00,81778.00,101
2012,Airports,Risk & Insurance Asst,71378.00,70638.00,101
2012,Airports,Bus Operator,66085.00,65352.00,101
2012,Airports,Systems Programmer Ii,114631.00,118048.00,101
2012,Airports,Custodian/Ap,48271.00,51687.00,101
2012,Airports,Airport Asst Pol Chief,171941.00,175364.00,101
2012,Airports,Heavy Duty Equip Mech,78372.00,81800.00,101
2012,Airports,Management Aide,61011.00,60176.00,101
2012,Airports,Custodian/Ap,48271.00,51781.00,101
2012,Airports,Gardener Caretaker,52862.00,52070.00,101
2012,Airports,Airport Police Ofcr Ii,82079.00,85522.00,101
2012,Airports,Custodian/Ap,45879.00,49331.00,101
2012,Airports,Engrg Designer-Airport,85838.00,85095.00,101
2012,Airports,Gardener Caretaker,52862.00,52118.00,101
2012,Airports,Custodian/Ap,47075.00,50544.00,101
2012,Airports,Custodian/Ap,45879.00,49355.00,101
2012,Airports,Custodian/Ap,47075.00,50558.00,101
2012,Airports,Commun Info Rep Iii,68378.00,71866.00,101
2012,Airports,Management Analyst Ii,85838.00,85088.00,101
2012,Airports,Sr Clerk Typist,60222.00,63713.00,101
2012,Airports,Custodian/Ap,43488.00,46984.00,101
2012,Airports,Airport Police Ofcr Ii,80534.00,84047.00,101
2012,Airports,Arts Manager I,73205.00,72451.00,101
2012,Airports,Custodian/Ap,43488.00,47003.00,101
2012,Airports,Arpt Supt Of Oper Ii,92872.00,96394.00,101
2012,Airports,Security Officer,56586.00,60115.00,101
2012,Airports,Security Officer,56586.00,60115.00,101
2012,Airports,Custodian/Ap,47075.00,50609.00,101
2012,Airports,Custodian/Ap,48271.00,51804.00,101
2012,Airports,Pr Public Relations Rep,83311.00,86848.00,101
2012,Airports,Airport Police Ofcr Ii,75523.00,79080.00,101
2012,Airports,Security Officer,56586.00,60127.00,101
2012,Airports,Custodian/Ap,47075.00,50624.00,101
2012,Airports,Airport Police Ofcr Ii,67818.00,71376.00,101
2012,Airports,Management Analyst Ii,77005.00,76242.00,101
2012,Airports,Airport Police Capt I,134008.00,137575.00,101
2012,Airports,Tile Setter,81800.00,85387.00,101
2012,Airports,Storekeeper Ii,60222.00,63805.00,101
2012,Airports,Custodian/Ap,45879.00,49461.00,101
2012,Airports,Arpt Supt Of Oper I,71263.00,74851.00,101
2012,Airports,Accounting Clerk Ii,63590.00,62823.00,101
2012,Airports,Custodian/Ap,45879.00,49479.00,101
2012,Airports,Sr Commun Operator Ii,71857.00,75460.00,101
2012,Airports,Custodian/Ap,43488.00,47093.00,101
2012,Airports,Security Officer,53636.00,57239.00,101
2012,Airports,Custodian/Ap,45879.00,49494.00,101
2012,Airports,Security Officer,53636.00,57252.00,101
2012,Airports,Custodian/Ap,43488.00,47107.00,101
2012,Airports,Custodian/Ap,48271.00,51903.00,101
2012,Airports,Gardener Caretaker,52862.00,56498.00,101
2012,Airports,Gardener Caretaker,52862.00,56500.00,101
2012,Airports,Custodian/Ap,47075.00,50714.00,101
2012,Airports,Maint & Constr Helper,57107.00,60756.00,101
2012,Airports,Custodian/Ap,48271.00,51916.00,101
2012,Airports,Airport Police Ofcr Ii,67818.00,71471.00,101
2012,Airports,Airport Police Ofcr Ii,88469.00,92119.00,101
2012,Airports,Management Analyst Ii,85838.00,85051.00,101
2012,Airports,Maint & Constr Helper,55692.00,59365.00,101
2012,Airports,Painter,77522.00,81208.00,101
2012,Airports,Data Base Architect,119622.00,123311.00,101
2012,Airports,Custodian/Ap,43488.00,47181.00,101
2012,Airports,Custodian/Ap,45879.00,49619.00,101
2012,Airports,Airport Guide Ii,40173.00,43889.00,101
2012,Airports,Custodian/Ap,48271.00,52001.00,101
2012,Airports,Transp Engrg Assc Iv,110226.00,109803.00,101
2012,Airports,Management Assistant,61011.00,64788.00,101
2012,Airports,Locksmith,78790.00,82540.00,101
2012,Airports,Arpt Supt Of Oper Ii,78906.00,82666.00,101
2012,Airports,Heavy Duty Equip Mech,78372.00,82133.00,101
